reg|fecha|Sexo|Edad|entra|codcol|colegio|Inicial|Primaria|Secundaria|directiva|p5_1|depto|muni1|muni2|muni3|muni4|muni5|muni0|p7_1|p7_2|p7_3|p7_4|p7_5|p7_6|p7_7|p7_8|p7_9|p7_10|p7_11|p7_12|p7_13|p7_14|p7_15|p8_1|p8_2|p8_3|p8_4|p8_5|p8_6|p9_1|p9_2|p9_3|p9_4|p9_5|p10_1|p10_2|p10_3|p10_4|p10_5|p10_6|p10_7|p10_8|p10_9|p10_10|p10_11|p10_12|p10_13|p11_1|p11_2|p11_3|p11_4|p11_5|p11_6|p11_7|p11_8|p12_1|p12_2|p12_3|p13_1|p13_2|p13_3|p13_4|p13_5|p14|p15_1|p15_2|p15_3|p15_4|p15_5|p15_6|p15_7|p15_8|p15_9|p16_1|p16_2|p16_3|p16_4|p16_5|p16_6|p16_7|p16_8|p16_9|p17|p18_1|p18_2|p18_3|p18_4|p18_5|p18_6|p18_7|p18_8|p18_9|p18_10|p18_11|p19|p20|P14_1|P14_2|P14_3|P14_4|P14_5|P17_1|P17_2|P17_3|P19_1|P19_2|P19_3|P20_1|donante|cono1|cono1_a|cono1_b|rp15_3|rp15_6|rp15_7|rp15_8|rp15_9|acti1|acti1_a|rp16_1|rp16_2|rp16_3|rp16_4|rp16_5|rp16_6|rp16_7|rp16_8|rp16_9|rp18_1|rp18_2|rp18_3|rp18_4|rp18_5|rp18_6|rp18_7|rp18_8|rp18_9|rp18_10|rp18_11|practi1|practi1_a|practi1_b|ESTADO CAP
30|3-Jun-21|Mujer|44|1|Sucre|Colegio Bolivariano Nacional Sucre|0|0|1|Presidente|1|Cochabamba|0|30101. Cochabamba (Cercado)|0|0|0|Cochabamba|Salud sexual y reproductiva|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|No|No|No|Sí|No|No|Sí|Sí|Sí|Sí|Sí|Apodos o chistes ofensivos|2|3|6|9|#NULL!|11|12|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|Maestro o Maestra|2|7|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|Sí|No|No|Verdadero|Verdadero|Falso|Verdadero|Falso|#NULL!|Muy de acuerdo|De acuerdo|Más o menos de acuerdo|Muy de acuerdo|Más o menos de acuerdo|De acuerdo|Muy en desacuerdo|Muy en desacuerdo|Más o menos de acuerdo|Siempre|Siempre|Siempre|Siempre|Siempre|Siempre|Siempre|Siempre|Siempre|#NULL!|Algunas veces|Algunas veces|Algunas veces|Algunas veces|Siempre|Algunas veces|Nunca|Algunas veces|Algunas veces|Algunas veces|Algunas veces|Hacer conocer a dirección|0|Timidez/Vergonzoso|3|9|10|0|Denunciar al Agresor|0|0|Denunciar en el Colegio/ Dirección|0|0|NS/NR|F Globales|25|55.555556|Medio|3|2|5|5|3|77.777778|Positiva|3|3|3|3|3|3|3|3|3|0|2|2|2|3|2|1|2|2|2|2|33|49.253731|Más o menos adecuadas|Inicial
31|3-Jun-21|Hombre|45|1|Juan Pablo II|JUAN PABLO II|0|3|0|VICE PRESIDENTE DE CURSO|2|La Paz|0|0|20101. La Paz|0|0|La Paz|Prevención de la violencia hacía los niños, niñas y adolescentes|#NULL!|7|8|9|10|12|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|Sí|Sí|No|Sí|Sí|No|Sí|Sí|Sí|Sí|Sí|Apodos o chistes ofensivos|2|3|4|5|6|9|#NULL!|10|11|12|#NULL!|#NULL!|Maestro o Maestra|2|3|4|5|6|7|8|Sí|Sí|Sí|Falso|Verdadero|Falso|Verdadero|Falso|#NULL!|Muy de acuerdo|Muy de acuerdo|Más o menos de acuerdo|Muy de acuerdo|Muy de acuerdo|En desacuerdo|En desacuerdo|En desacuerdo|En desacuerdo|Siempre|Siempre|Siempre|Siempre|Siempre|Siempre|Algunas veces|Siempre|Siempre|#NULL!|Algunas veces|Siempre|Algunas veces|Siempre|Algunas veces|Siempre|Algunas veces|Siempre|Siempre|Algunas veces|Algunas veces|presentar el hecho a la Dirección de la unidad educativa con pruebas, luego acudir a la defensoría de la niñez y adolescencia.|0|Miedo|8|15|16|0|Denunciar al Agresor|9|10|Denunciar en el Colegio/ Dirección|5|0|NS/NR|NC Canada|39|86.666667|Muy alto|3|4|4|4|4|86.666667|Altamente positiva|3|3|3|3|3|3|2|3|3|0|3|2|3|2|3|2|3|3|2|2|32|47.761194|Más o menos adecuadas|Inicial
32|4-Jun-21|Hombre|31|1|Juan Pablo II|Juan pablo ll|1|2|3|Precidenta de 6 primaria|1|La Paz|0|0|20101. La Paz|0|0|La Paz|Prevención de la violencia hacía los niños, niñas y adolescentes|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|No|No|No|No|No|Sí|No|Sí|No|No|No|Apodos o chistes ofensivos|2|3|6|9|#NULL!|10|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|Maestro o Maestra|2|3|4|6|#NULL!|#NULL!|#NULL!|Sí|Sí|Sí|Falso|Falso|Falso|Verdadero|Falso|#NULL!|Muy de acuerdo|Muy de acuerdo|Muy en desacuerdo|Muy en desacuerdo|En desacuerdo|En desacuerdo|Muy en desacuerdo|Muy en desacuerdo|Muy en desacuerdo|Algunas veces|Siempre|Algunas veces|Siempre|Siempre|Siempre|Algunas veces|Siempre|Siempre|#NULL!|Algunas veces|Siempre|Algunas veces|Algunas veces|Siempre|Siempre|Algunas veces|Algunas veces|Algunas veces|Algunas veces|Siempre|Hir a la defensoria de la niñes|Controlando a los chicos dentro y fuera del establecimiento q no haya peleas ni padres q maltraten a los niños|Miedo|0|0|0|0|Denunciar al Agresor|0|0|Denunciar a la DNA|0|0|Control en la UE|NC Canada|21|46.666667|Medio|5|4|5|5|5|82.222222|Altamente positiva|2|3|2|3|3|3|2|3|3|0|3|2|2|3|3|2|2|2|2|3|33|49.253731|Más o menos adecuadas|Inicial
33|4-Jun-21|Hombre|42|1|Juan Pablo II|Juan Pablo II|2|2|2|Ninguna|96|La Paz|0|0|20101. La Paz|0|0|La Paz|Derechos de las niñas, niños adolescentes|#NULL!|7|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|Sí|Sí|No|Sí|Sí|No|Sí|Sí|Sí|No|Sí|Insultos|3|5|6|8|9|#NULL!|11|12|#NULL!|#NULL!|#NULL!|#NULL!|Maestro o Maestra|2|3|4|6|8|#NULL!|#NULL!|Sí|Sí|Sí|Falso|Verdadero|Falso|Verdadero|Falso|#NULL!|Muy de acuerdo|Muy de acuerdo|En desacuerdo|Muy de acuerdo|Muy de acuerdo|En desacuerdo|Más o menos de acuerdo|En desacuerdo|De acuerdo|Algunas veces|Algunas veces|Siempre|Siempre|Siempre|Siempre|Algunas veces|Algunas veces|Algunas veces|#NULL!|Nunca|Nunca|Algunas veces|Nunca|Algunas veces|Algunas veces|Algunas veces|Algunas veces|Siempre|Siempre|Nunca|Ir a comunicar ala directora y arreglarlo|No se|Aleja de grupo /aisla|4|0|0|0|Hablar con agresor o sus PP.FF|0|0|Denunciar en el Colegio/ Dirección|0|0|NS/NR|NC Canada|32|71.111111|Alto|4|4|3|4|2|82.222222|Altamente positiva|2|2|3|3|3|3|2|2|2|0|1|2|1|2|2|2|2|3|3|1|40|59.701493|Más o menos adecuadas|Inicial
34|5-Jun-21|Hombre|48|1|Juan Pablo II|UE JUAN PABLO II|0|1|0|Encargada del curso|1|La Paz|0|0|20101. La Paz|0|0|La Paz|Buen trato y cultura de paz|9|10|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|No|No|No|Sí|No|Sí|Sí|Sí|Sí|Sí|Sí|Apodos o chistes ofensivos|2|3|4|5|6|7|8|9|#NULL!|10|11|12|Maestro o Maestra|2|3|4|5|6|7|#NULL!|Sí|Sí|Sí|Falso|Verdadero|Falso|Verdadero|Falso|#NULL!|Muy de acuerdo|Muy de acuerdo|Muy en desacuerdo|Muy de acuerdo|Muy de acuerdo|Muy de acuerdo|Muy en desacuerdo|Muy en desacuerdo|De acuerdo|Siempre|Siempre|Siempre|Siempre|Siempre|Siempre|Algunas veces|Siempre|Siempre|#NULL!|Nunca|Algunas veces|Nunca|Algunas veces|Algunas veces|Nunca|Nunca|Algunas veces|Nunca|Nunca|Nunca|Jamas he sabido que haya agresiones a los estudiantes|0|Miedo|16|0|0|0|Buscar pruebas/ Buscar responsable|0|0|NS/NR|0|0|NS/NR|NC Canada|34|75.555556|Alto|5|1|5|5|2|84.444444|Altamente positiva|3|3|3|3|3|3|2|3|3|0|2|1|2|2|1|1|2|1|1|1|40|59.701493|Más o menos adecuadas|Inicial
35|6-Jun-21|Hombre|43|1|Juan Pablo II|"U.E JUAN PABLO ||"|0|0|1|Presidenta|1|La Paz|0|0|20101. La Paz|0|0|La Paz|Prevención de la violencia hacía los niños, niñas y adolescentes|#NULL!|2|3|4|#NULL!|5|6|#NULL!|7|11|#NULL!|#NULL!|#NULL!|#NULL!|Sí|Sí|Sí|Sí|Sí|No|Sí|Sí|Sí|Sí|Sí|Apodos o chistes ofensivos|2|3|5|6|8|9|#NULL!|10|11|12|#NULL!|#NULL!|Maestro o Maestra|2|3|4|5|6|7|8|Sí|Sí|No|Verdadero|Falso|Falso|Verdadero|Falso|#NULL!|Muy de acuerdo|Muy de acuerdo|De acuerdo|Muy de acuerdo|Muy de acuerdo|De acuerdo|De acuerdo|De acuerdo|De acuerdo|Siempre|Siempre|Siempre|Siempre|Siempre|Siempre|Siempre|Siempre|Siempre|#NULL!|Siempre|Siempre|Algunas veces|Algunas veces|Siempre|Algunas veces|Algunas veces|Siempre|Algunas veces|Algunas veces|Siempre|Averiguar y si fuera un caso fuerte denunciar ante las autoridades|Acudir a las autoridades, ejemplo ;defensorias.|Tristeza|8|0|0|0|Denunciar al Agresor|10|0|Denunciar / Denunciar a Instancias correspondientes|7|0|Acudir a la DNA|NC Canada|37|82.222222|Muy alto|2|2|2|2|2|66.666667|Positiva|3|3|3|3|3|3|3|3|3|0|3|2|2|3|2|2|3|2|2|3|31|46.268657|Más o menos adecuadas|Inicial
36|7-Jun-21|Hombre|32|1|Juan Hershel A|Unidad Educativa Juan Herschel A|0|1|0|PRESIDENTE|1|La Paz|0|0|20101. La Paz|0|0|La Paz|Buen trato y cultura de paz|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|Sí|Sí|Sí|Sí|Sí|Sí|Sí|Sí|Sí|Sí|Sí|Apodos o chistes ofensivos|5|6|9|#NULL!|10|11|12|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|Maestro o Maestra|2|8|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|Sí|Sí|Sí|Falso|Verdadero|Falso|Verdadero|Falso|#NULL!|Muy de acuerdo|Muy de acuerdo|Muy en desacuerdo|Muy de acuerdo|Muy de acuerdo|Muy en desacuerdo|Muy en desacuerdo|Muy en desacuerdo|Muy en desacuerdo|Siempre|Siempre|Siempre|Siempre|Siempre|Siempre|Siempre|Siempre|Siempre|#NULL!|Siempre|Algunas veces|Siempre|Algunas veces|Siempre|Siempre|Siempre|Siempre|Siempre|Algunas veces|Siempre|Denunciar ante las autoridades pertinentes de inmediato y convocar a sus padres de família|Denunciar a la Defensoría de la niñez|Timidez/Vergonzoso|3|4|10|12|Cambiarlo de su entrono|0|0|Denunciar / Denunciar a Instancias correspondientes|0|0|Acudir a la DNA|NC Canada|32|71.111111|Alto|5|5|5|5|5|100|Altamente positiva|3|3|3|3|3|3|3|3|3|0|2|3|2|3|3|3|3|3|2|3|26|38.80597|Poco adecuadas|Inicial
37|7-Jun-21|Hombre|23|1|Tres Islas|Tres islas|1|1|1|Secretaria de asiendas consejo educativo|4|Cochabamba|0|31204. Chimore|0|0|0|Chimore|Prevención de la violencia hacía los niños, niñas y adolescentes|#NULL!|2|3|4|#NULL!|6|#NULL!|7|9|10|11|12|#NULL!|#NULL!|Sí|Sí|No|Sí|Sí|Sí|Sí|Sí|Sí|Sí|Sí|Apodos o chistes ofensivos|2|3|4|5|6|7|8|9|#NULL!|10|11|12|Maestro o Maestra|3|4|5|6|8|#NULL!|#NULL!|Sí|Sí|Sí|Falso|Verdadero|Falso|Verdadero|Falso|#NULL!|Muy de acuerdo|Muy de acuerdo|Muy de acuerdo|Muy de acuerdo|Muy de acuerdo|De acuerdo|Más o menos de acuerdo|De acuerdo|De acuerdo|Siempre|Algunas veces|Siempre|Siempre|Siempre|Siempre|Siempre|Siempre|Siempre|#NULL!|Siempre|Siempre|Siempre|Siempre|Siempre|Siempre|Siempre|Siempre|Siempre|Siempre|Algunas veces|Lo primero ablar con el maestro@ llamada de atencion por primera vez Segundo adbertencia tercera vez denuncia|En caso de grabedad aser conoser a LA defensoria no grave castigado y multado suspendido de trabajo estudio etc. dentro LA comunidad o U.E|Aleja de grupo /aisla|8|16|0|0|Justicia por mano propia/ Venganza|0|0|Buscar dialogo/ Habla con Maestro|6|8|Acudir a la DNA|KOICA|37|82.222222|Muy alto|1|2|3|2|2|66.666667|Positiva|3|2|3|3|3|3|3|3|3|0|3|3|3|3|3|3|3|3|3|2|27|40.298507|Más o menos adecuadas|Inicial
38|7-Jun-21|Mujer|39|1|Natalio Arauco|U. E. NATALIO ARAUCO|1|1|1|Presidente del Consejo Educativo|1|Cochabamba|0|31001. Sacaba|0|0|0|Sacaba|Buen trato y cultura de paz|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|No|No|Sí|Sí|Sí|No|Sí|No|Sí|Sí|Sí|Publicar fotos en redes sociales sin permiso de la persona|11|12|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|Maestro o Maestra|2|3|4|#NULL!|#NULL!|#NULL!|#NULL!|Sí|Sí|Sí|Falso|Verdadero|Falso|Verdadero|Falso|#NULL!|Muy de acuerdo|Muy de acuerdo|Más o menos de acuerdo|Muy de acuerdo|Muy de acuerdo|Más o menos de acuerdo|Más o menos de acuerdo|De acuerdo|Más o menos de acuerdo|Algunas veces|Siempre|Nunca|Nunca|Siempre|Siempre|Algunas veces|Algunas veces|Nunca|#NULL!|Algunas veces|Algunas veces|Siempre|Siempre|Siempre|Siempre|Siempre|Siempre|Siempre|Siempre|Siempre|Dar a conocer a la Dirección de la U. E., luego al padre o madre del niño (a) para luego analizar el caso, y luego llevar a las instancias correspondientes si el caso amerita.|0|Timidez/Vergonzoso|0|0|0|0|Averiguar/denunciar en el Colegio|4|0|Denunciar en el Colegio/ Dirección|7|0|NS/NR|F Globales|23|51.111111|Medio|3|3|3|2|3|75.555556|Positiva|2|3|1|1|3|3|2|2|1|0|2|3|3|3|3|3|3|3|3|3|35|52.238806|Más o menos adecuadas|Inicial
39|8-Jun-21|Hombre|48|1|Pampa de la Isla A|"Pampa de la Isla ""B"""|1|1|0|Presidenta|1|Santa Cruz|0|0|0|0|70101. Santa Cruz de la Sierra|Santa Cruz de la Sierra|Prevención de la violencia hacía los niños, niñas y adolescentes|#NULL!|7|8|12|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|Sí|Sí|Sí|Sí|Sí|No|Sí|Sí|Sí|Sí|Sí|Apodos o chistes ofensivos|2|3|4|5|6|7|8|9|#NULL!|10|11|12|Maestro o Maestra|2|3|4|5|6|7|#NULL!|Sí|Sí|Sí|Falso|Falso|Falso|Verdadero|Falso|#NULL!|Muy de acuerdo|Muy de acuerdo|Más o menos de acuerdo|Muy de acuerdo|Muy de acuerdo|Muy de acuerdo|De acuerdo|Más o menos de acuerdo|Muy de acuerdo|Siempre|Siempre|Siempre|Siempre|Siempre|Siempre|Siempre|Siempre|Siempre|#NULL!|Algunas veces|Algunas veces|Algunas veces|Siempre|Siempre|Siempre|Siempre|Siempre|Siempre|Algunas veces|Siempre|Hablar con el maestro del por que de su actitud, si hay más denuncias o vuelve a reincidir, denunciar a las autoridades correspondientes..|0|Timidez/Vergonzoso|3|6|13|0|Hablar/ganarse confianza|0|0|Buscar dialogo/ Habla con Maestro|8|0|NS/NR|NC Canada|42|93.333333|Muy alto|3|1|2|3|1|66.666667|Positiva|3|3|3|3|3|3|3|3|3|0|2|2|3|3|3|3|3|3|2|3|27|40.298507|Más o menos adecuadas|Inicial
40|8-Jun-21|Hombre|48|1|Pampa de la Isla A|"Pampa de la Isla ""B"""|1|1|0|Presidenta|1|Santa Cruz|0|0|0|0|70101. Santa Cruz de la Sierra|Santa Cruz de la Sierra|Prevención de la violencia hacía los niños, niñas y adolescentes|#NULL!|2|5|11|12|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|Sí|Sí|Sí|Sí|Sí|No|Sí|Sí|Sí|Sí|Sí|Apodos o chistes ofensivos|2|3|4|5|6|7|8|9|#NULL!|10|11|12|Maestro o Maestra|2|3|4|5|6|7|8|Sí|Sí|No|Falso|Falso|Falso|Verdadero|Falso|#NULL!|Muy de acuerdo|Muy de acuerdo|Más o menos de acuerdo|Muy de acuerdo|Muy de acuerdo|Más o menos de acuerdo|Más o menos de acuerdo|Más o menos de acuerdo|Muy de acuerdo|Siempre|Siempre|Siempre|Siempre|Siempre|Siempre|Siempre|Siempre|Siempre|#NULL!|Siempre|Siempre|Siempre|Siempre|Siempre|Siempre|Siempre|Siempre|Siempre|Siempre|Siempre|Hablar con la maestra (o) con la participación de la Directora, y si no existe un cambio  positivo denunciar a las autoridades correspondientes..|0|Timidez/Vergonzoso|6|13|0|0|Hablar con agresor o sus PP.FF|0|0|Buscar dialogo/ Habla con Maestro|2|8|NS/NR|NC Canada|41|91.111111|Muy alto|3|3|3|3|1|73.333333|Positiva|3|3|3|3|3|3|3|3|3|0|3|3|3|3|3|3|3|3|3|3|24|35.820896|Poco adecuadas|Inicial
41|8-Jun-21|Mujer|54|1|Juancito Pinto B|Juancito Pinto B|1|2|4|Presidente Concejo Educativo|1|Cochabamba|0|30101. Cochabamba (Cercado)|0|0|0|Cochabamba|Prevención de la violencia hacía los niños, niñas y adolescentes|#NULL!|2|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|Sí|Sí|No|Sí|Sí|No|Sí|Sí|Sí|Sí|Sí|Apodos o chistes ofensivos|2|3|5|6|8|9|#NULL!|10|11|12|#NULL!|#NULL!|Maestro o Maestra|2|3|4|5|6|7|8|Sí|Sí|Sí|Falso|Verdadero|Falso|Verdadero|Falso|#NULL!|Muy de acuerdo|Muy de acuerdo|Muy en desacuerdo|Muy de acuerdo|Muy de acuerdo|Muy en desacuerdo|Muy en desacuerdo|Más o menos de acuerdo|Muy en desacuerdo|Siempre|Siempre|Siempre|Siempre|Siempre|Siempre|Siempre|Siempre|Siempre|#NULL!|Algunas veces|Siempre|Siempre|Siempre|Siempre|Siempre|Siempre|Siempre|Siempre|Siempre|Siempre|Dar parte a la dirección sobre la agresión y denunciar|Hemos conformado brigadas de estudiantes y de padres de familia|Timidez/Vergonzoso|4|9|0|0|Acudir a las Autoridades|0|0|Denunciar en el Colegio/ Dirección|3|0|Conformación de Brigadas|F Globales|38|84.444444|Muy alto|5|5|5|3|5|95.555556|Altamente positiva|3|3|3|3|3|3|3|3|3|0|3|3|3|3|3|3|3|3|3|3|25|37.313433|Poco adecuadas|Inicial
42|8-Jun-21|Hombre|39|1|Juan Pablo II|Unidad Educativa Juan Pablo II|0|2|1|Secretaria de actas:|3|La Paz|0|0|20101. La Paz|0|0|La Paz|Prevención de la violencia hacía los niños, niñas y adolescentes|#NULL!|7|10|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|Sí|Sí|Sí|Sí|Sí|No|Sí|Sí|Sí|Sí|Sí|Apodos o chistes ofensivos|2|3|4|5|6|7|8|9|#NULL!|10|11|12|Maestro o Maestra|2|3|4|5|6|7|8|Sí|Sí|No|Falso|Falso|Falso|Verdadero|Falso|#NULL!|Muy de acuerdo|De acuerdo|Muy en desacuerdo|Muy de acuerdo|Muy de acuerdo|Muy en desacuerdo|Muy en desacuerdo|Muy en desacuerdo|En desacuerdo|Siempre|Siempre|Siempre|Siempre|Siempre|Siempre|Siempre|Siempre|Siempre|#NULL!|Siempre|Siempre|Siempre|Siempre|Siempre|Siempre|Siempre|Siempre|Siempre|Siempre|Siempre|Primero llamada de atención al profesor mediante una carta que ponga advertencia hacia su persona si no cambia de actitud exilio. cambio de profesor|La verdad es que en nuestro colegio no fuimos instruidos así como muestra esta encuesta , pero considero que deberían mandarnos personas que capaciten a la junta escolar de como se debe actuar ante cualquier falta habida en contra de nuestros niños y adolescentes del colegio, es así que veo con buenos ojos esta encuesta para poder poner en practica como con ideas que se aplicaran en nuestro colegio , gracias.|Timidez/Vergonzoso|3|4|0|0|Averiguar/denunciar en el Colegio|10|0|Llamar la atención al Profesor|0|0|NS/NR|NC Canada|41|91.111111|Muy alto|5|5|5|5|4|95.555556|Altamente positiva|3|3|3|3|3|3|3|3|3|0|3|3|3|3|3|3|3|3|3|3|23|34.328358|Poco adecuadas|Inicial
43|9-Jun-21|Mujer|40|1|Cobija A|Unidad Educativa Cobija A|0|2|1|Presidente Junta Escolar|1|Pando|0|0|0|90101. Cobija|0|Cobija|Prevención de la violencia hacía los niños, niñas y adolescentes|#NULL!|6|#NULL!|11|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|Sí|Sí|Sí|Sí|Sí|Sí|Sí|Sí|Sí|Sí|Sí|Insultos|3|5|6|10|11|12|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|Maestro o Maestra|2|3|4|#NULL!|#NULL!|#NULL!|#NULL!|Sí|Sí|Sí|Verdadero|Verdadero|Verdadero|Verdadero|Verdadero|#NULL!|Muy de acuerdo|Muy de acuerdo|Más o menos de acuerdo|Muy de acuerdo|Muy de acuerdo|Más o menos de acuerdo|Más o menos de acuerdo|Más o menos de acuerdo|Muy de acuerdo|Siempre|Siempre|Siempre|Siempre|Siempre|Siempre|Siempre|Siempre|Siempre|#NULL!|Siempre|Siempre|Siempre|Siempre|Siempre|Siempre|Siempre|Siempre|Siempre|Siempre|Siempre|Denunciar a las instancias pertinente|Realizar talleres de prevención contra la violencia en la familia|Aleja de grupo /aisla|6|17|0|0|Ayudarlo / Buscar Ayuda Psicológica|0|0|Denunciar / Denunciar a Instancias correspondientes|0|0|Talleres sobre Bulling/ violencia|NC Español|28|62.222222|Alto|3|3|3|3|1|73.333333|Positiva|3|3|3|3|3|3|3|3|3|0|3|3|3|3|3|3|3|3|3|3|23|34.328358|Poco adecuadas|Inicial
44|9-Jun-21|Hombre|29|1|Csota Rica|Costa Rica|1|1|1|Presidenta|1|Santa Cruz|0|0|0|0|70101. Santa Cruz de la Sierra|Santa Cruz de la Sierra|Prevención de la violencia hacía los niños, niñas y adolescentes|#NULL!|6|#NULL!|9|10|11|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|Sí|No|Sí|Sí|Sí|No|Sí|Sí|Sí|Sí|Sí|Apodos o chistes ofensivos|2|3|4|5|6|9|#NULL!|10|11|12|#NULL!|#NULL!|Maestro o Maestra|3|6|7|#NULL!|#NULL!|#NULL!|#NULL!|Sí|Sí|Sí|Falso|Verdadero|Falso|Verdadero|Falso|#NULL!|Muy de acuerdo|Muy de acuerdo|En desacuerdo|Muy de acuerdo|Muy de acuerdo|Muy en desacuerdo|En desacuerdo|Más o menos de acuerdo|Muy de acuerdo|Algunas veces|Siempre|Siempre|Siempre|Siempre|Siempre|Siempre|Siempre|Siempre|#NULL!|Algunas veces|Algunas veces|Nunca|Siempre|Siempre|Algunas veces|Nunca|Nunca|Algunas veces|Siempre|Nunca|Informar primero al director en caso que no solucione acudir al ministerio de educación|0|Aleja de grupo /aisla|4|11|0|0|Denunciar al Agresor|0|0|Denunciar en el Colegio/ Dirección|4|0|NS/NR|NC Canada|34|75.555556|Alto|4|5|4|3|1|82.222222|Altamente positiva|2|3|3|3|3|3|3|3|3|0|2|1|3|3|2|1|1|2|3|1|36|53.731343|Más o menos adecuadas|Inicial
45|9-Jun-21|Hombre|38|1|Defensores del Acre B|Defensores del Acre|0|0|2|Presidenta|1|Pando|0|0|0|90101. Cobija|0|Cobija|Prevención de la violencia hacía los niños, niñas y adolescentes|#NULL!|3|4|#NULL!|5|6|#NULL!|7|11|12|#NULL!|#NULL!|#NULL!|#NULL!|Sí|Sí|Sí|Sí|Sí|No|Sí|Sí|Sí|Sí|Sí|Apodos o chistes ofensivos|7|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|Maestro o Maestra|2|3|4|8|#NULL!|#NULL!|#NULL!|Sí|Sí|Sí|Falso|Verdadero|Falso|Verdadero|Falso|#NULL!|De acuerdo|De acuerdo|En desacuerdo|De acuerdo|De acuerdo|En desacuerdo|En desacuerdo|Más o menos de acuerdo|En desacuerdo|Siempre|Siempre|Siempre|Siempre|Siempre|Siempre|Siempre|Siempre|Siempre|#NULL!|Algunas veces|Siempre|Algunas veces|Siempre|Siempre|Siempre|Algunas veces|Siempre|Siempre|Algunas veces|Siempre|Dar aviso a las autoridades incompetentes|0|Miedo|11|0|0|0|Acudir a las Autoridades|0|0|Denunciar / Denunciar a Instancias correspondientes|0|0|NS/NR|NC Español|27|60|Medio|4|4|4|3|4|77.777778|Positiva|3|3|3|3|3|3|3|3|3|0|3|2|3|3|3|2|3|3|2|3|26|38.80597|Poco adecuadas|Inicial
